yorum,label
"Huge shout out to the manager at Shallotte NC store Quieta, she went an extra mile just to make sure I left the store 100% satisfied, she deserves to be praised besides a raised on her income, people like her makes this hectic world go round. Quieta was knowledgeable, courteous, professional and a blessing. Please make sure you hire more people like her, for now I am a very very satisfied customer and I thank you and I will make sure my friends and family know this.",2
"I am a new AT&T customer. Your install team--Joe and Lee--were here at my home for about 4 hours on 1.10.25. They were both extremely pleasant, patient, helpful and conscientious. They took great care in choosing the best location for our new AT&T Internet equipment and were fastidious in keeping our home just as they found it. They were the most courteous of ""workmen"" we could have in and out of our house for several hours. We honestly enjoyed speaking with them and finding them both personable and thoughtful. We recommend them very highly and they gave us the absolute best first impression of our new relationship with AT&T!Also, I want to comment on Blaine, an ""account"" man who came while Joe and Lee were here. He was also a most pleasant, helpful, knowledgeable employee of whom you may be proud! He explained many things about our service and even gave suggestions I found very positive and enlightening.",2
"Greg went above and beyond to fix my problem, showd patience and friendly. Am so glad I have switched to AT&T.",2
I recently purchased the iPhone 15 at the AT&T store in Warren RI Sage the manager there was outstanding and very knowledgeable ! I could not have had a better experience! Joe who also was very helpful helped me pick out a good protective case for my new phone! Both gentlemen were fantastic!!,2
"This rating came because of 1 Customer Service Representative at the 33rd & Broadway, Portland, ORI updated to an IPhone 14I’ve been a long term customer and brought my family and friends to AT&TI was overcharged and found changes to my account I never asked for or agreed toFor 3 months I paid almost $400 per month(twice the price of my original billing) I ended up with 4 lines and an additional phone number I never heard oand was charged an additional $70 for that phone number and lineThe was told my business wasn’t important to them and should take an offer from another companyThen u met Sean Osborn, Service Rep who solved all my issues for real this time, valued my business, took the time to resolve the problems and get me my refundsHe made me believe again in good service and came as a customerThank you AT&T for Sean, he should be compensated and promotedEmployees like Sean are the greatest value and I’m grateful he helped me",2
"Matthew at the West End Ave. location in Nashville, TN went ""above and beyond"" to assist me during a recent visit to the store. After I relayed to him that I suffer from short term memory loss due to a recent illness, he patiently helped me to program my new cell phone and guided me through how to use it. Matthew exemplified what it means to be both tech savvy and customer friendly. I am grateful to ATT for making the transition to my new phone a positive and uncomplicated experience.",2
My iphone broke on Christmas Eve and I had to call AT&T customer support to transfer my number to my old phone Christmas morning. Simon was very helpful and patient! I am so happy to have had him assist me and I hope he gets the best Christmas bonus this year!,2
I had a scheduled appointment with AT&T to repair my land-line. It took a few days and they were unable to get to it on my scheduled day. But I really appreciated they came out the next morning which was Saturday and fixed it. Many thanks to the technician.,2
"We had an amazing experience with Kevin at AT&T! He was incredibly helpful in finding us a great deal, and the best part was his approach—he wasn't pushy or trying to oversell us. Instead, he made us feel like we were getting advice from a friend who genuinely wanted to help. Kevin's friendly and professional demeanor made the entire process smooth and stress-free. Highly recommend him for anyone looking to have a positive and enjoyable experience at AT&T!",2
I want to give a huge shout out to an amazing employee for Att&tJuan at the Plymouth mass store in Home Depot plaza ! Exceptional service !!The store was pretty busy and he was resolving another customers issues . He never got stressed by the growing crowd he stayed focused and very professional!!  ⭐️⭐️⭐️⭐️⭐️!!,2
I just wanted to write a review about going to AT&T in Charlotte North Carolina on South Tryon. I receive such good service. I’m close to 70 and they spend time to explain everything to me. There was a manager named Stetson that I was very pleased with how he explained everything so I would give him a five a great review.,2
"Avery is an outstanding representative for AT&T at Best Buy in Altamonte Springs. Normally, I do not stop for sales pitches, but Avery's approach caught my attention. He actively listened to my concerns, never made me feel pressured, and allowed me to take my time with the decision. He was also incredibly courteous to other customers, assuring them he would assist them as well.This was my first experience with AT&T, and I hope the service lives up to the high standard Avery set. I took advantage of the iPhone 15 family plan deal and couldn't be happier. When I had a follow-up question after Thanksgiving, Avery responded the same day with the same level of professionalism and care.Avery doesn’t just talk the talk—he truly walks the walk. Exceptional customer service like his deserves recognition. AT&T, give this man a raise!",2
This is Dre Idk whoever Mo AT&T text she is great made me feel like I was texting one of my friends VERY HELPFUL  SHE DESERVES A PROMOTION ASAP,2
"I am glad I am a customer at AT&T. Every time there is a hurricane for example they always jump into action making sure that I am okay, offering help, making sure I can always stay in communication with loved ones etc. It’s really thoughtful and shows how much they value their customers. Thank you AT&T :) for always going above and beyond.",2
Whenever you call AT&T to hold your cellular service . They will hurry up and disconnect you . Never handle what you need for them to take care of . If you are paying your Bill or buying a new product they are quick to dismissed you .I went on a cruise and AT&T has that international fee for $12 . I cut off my WiFi my Bluetooth my cellular service . Yet they still charge d me . Everyday I took a picture to show them that it was cut off . These bastards going to say I used my phone . Then show me to where I made one phone or sent one text . The next thing they ended our conversation. I’m at the point to where I think I’m going to have to get rid of them,2
"I don’t remember the exact date but about 2 weeks ago we went into the local Columbus, Georgia AT&T store on Macon Road needing account assistance.   After listening to our situation Theresa Wall went above and beyond what we were expecting for customer service!  She immediately greeted us, listened to our situation, not only did what we needed but offered other suggestions all while being patient and kind. Great job Theresa!  Thank you.",2
"We have just visited AT&T store located at @9725 Skokie Blvd, Skokie and were served by Gerardo. He was courteous, knowledgeable about almost everything we asked him and explained all our queries in lay person’s language courteously and with humor. His demeanor was brilliant compelling us to write immediately after getting out of the store. Truly appreciated his advice and help. Wish all your staff would be same calibre.",2
"I would like to thank Barry from AT&T for his excellent service to repair a cut fiber cable at my home in Maumelle, Arkansas. The original fiber contractors that came out were going to reroute the new cable across my front lawn and under my driveway. This would have done a lot of damage to my yard and possibly messed up my irrigation lines. I contacted AT&T service, and they sent out an inspector who did everything he could to route the new fiber cable through its original path so there was no need dig up my yard. Barry was terrific. Barry certainly deserves all the credit and made my day by resolving this issue. I am now a big fan of AT&T and highly recommend them.",2
"Never take AT&T . This is a bullshit company. Great scam I have ever seen. I did trade-in and later on paid of the device to unlock the device. Technically I paid 2 times , later on they take out my trading credit form bill coz i paid of the device. And they do scam when i purchase the line they did not explain me that it has 36 month contract, They said you can move anytime. That was another trap for me. It's been 1 year's i am still overpaying everybills. If i leave i have to pay a lot for each phone. Never chose this company. Your life will be in hell like me.😞. Also agent said their system has some billing problem, If your system has problem why we will pay more money for that?? My request everyone please never take AT&T.",2
"I want to say thank you very much to Leo from customer service who helped with everything this morning cause I was stressing for no tv, no Alexa and no phone service.  He was so wonderful and helped me with everything to do.  Ask for Leo he is amazing. Christine Ault",2
Ernie/Austin G. were so helpful on assisting me with transferring my pre paid phone to a new device. The service was quick and the employees were friendly. The location is the Duarte California store #AWUK.,2
"I called AT&T on the 611 number got connected to a guy named Joel within minutes. I was just wanting to know is there anything I can do to lower my bill and he was extremely helpful explain to me about a $50 insurance that I didn’t even know that I was paying every month, among a few other things in total he lowered my bill by over $73 per month thank you so much, Joel",2
"I had  recently added  AT&T phone service  to my long standing internet  service. I got  my  Galaxys24 FE in th email, its a much better  and more advanced phone than Im use to. I was disheartened when I called several stores in my area (Tulsa) to be told they couldnt help me with file transfers or anything tech support related. I finally made the call to customer service, and the tech that got on the phone was corteous and  knowledgable, he took the time to understand my issue, and had the patience to calmy walk me through every detail and help me understand each process so I would be a more informed  customer of my devices. He even went above and beyond to help me fix  the home wi-fi crisis that plagued me for over 2 years. Id like to personally thank AT&T  for  keeping such fine customer service  reps  and techs employed. Though it took time, mostly due to me, I did take the extra time to speak to his supervisor and ensure they knew I was impressed and thankful for all that my tech did. I believe in giving praise  for excellence in customer care. Thank you",2
"I had a great experience on my most recent visits to AT&T in Tallahassee, Florida.  Blake W. was very helpful in setting up my prepaid plan and resolved a recent issue with my daughter's phone plan.  We spoke to several agents and even a manager at a different store to resolve the issue with my daughter's phone, but felt like we were going in circles.  I'm thankful he was able to resolve the problem.",2
AT&T Casper WY in the Mall .As always the young lady Laura Scott is a fabulous person she dependable and very consistent she answer all our questions and fixes any issues we might have .grat customer service rep very helpful.,2
"Steve at the Gravois Bluff location in Fenton is very helpful, understanding, and takes the time to make sure all your questions have been answered. Before I dealt with Steve, I had a couple of bad experiences with that store and was very hesitant to even go back. Since dealing with Steve, he always goes above and beyond with service and his knowledge is great! I ask for him every time and even waited for him for over an hour + last time. Highly recommend!",2
I’ve had AT&T for 5 years now and my bundle discounts were never applied for having their internet and phone services. They were not willing to give me a discount by a manager. I was told it’s ONLY FOR NEW CUSTOMER!!!!! So they don’t care if they lose a loyal customer. Thank you to Trinity for her great customer service and for understanding. She was able to apply some discount for being a loyal customer. She didn’t want to lose a loyal customer. Thank you again Trinity.,2
"Went to AT&T in Merrillville on US30 with a cell phone issue and the service I received was more than fabulous and the employees Ms. Raven, Ms. Shonna and Mr. Terrell went beyond the call of duty to make sure I was completely satisfied and all my electronics was in working condition. I really appreciate all the help from all three of AT&T employees that made my experience worth the time I spent with them…I AM UP AND RUNNING NOW just because of them three I’m there❤️❤️🙂",2
"I have received the best customer service at the AT&T store near Chapman and Main in Orange, CA.  The store manager, Aaron and the assistant manager, Arlene, spent a lot of time resolving an issue I was having.  They were knowledgeable, personable, and patient with my many questions.  It was all taken care of without making me feel rushed.  It's the kind of customer service I always wish for, but don't always receive, and it is much appreciated.",2
Great experience at AT&T Sarasota! Tom spent an hour and a half helping us convert from XR to 15Pro iphones. We got watch upgrade too. My work discount was applied for 20% off without me requesting! Top-notch customer service and unsurpassed product knowledge - amazing! Thank you!,2
"I want to recognize Tanazsa at the Mayfaire office in Wilmington, NC. She has been extremely helpful with questions we have regarding our phones and AT&T accounts.  She patiently answers questions quickly and accurately no matter how many my husband and I have.No matter how busy she is I feel like I am her only customer,  she keeps her composure and makes everyone feel welcome and valuable.",2
"I recently upgraded my android phone to the new Galaxy 6. This was completed at the point of original sale in Clinton Twp, MI. The service received has always been stellar.My complaint is that when we dial 611. If one ask a simple question such as ""just need the new total of my bill?"" One should not provide a endure a dissertation of the the service. Please we value time management",2
"I visited the AT&T store at 3191Maple Ave Zanesville, Ohio on Friday 9/6.Customer Service Representative was Ray. He was very knowledgeable, personal and efficient. He expertly answered all of my questions.You have a wonderful employee here in Ray!!Thank you",2
"I had several issues originally and when I went back for a 4th time to the store in Peachtree City - at the Avenue, Kim, the manager was there. She was AMAZING and I don't say that lightly!!. She was patient, nice, multi tasked, wanted what was best for me- the customer, and knowledgeable.Very impressed and appreciative for her outstanding customer service",2
I just met with ADEM at the summit AT$T store.  He was so informed and brought all the technology down to my level.  He made all the decisions so effortlessly easy.  Thank you ADEM.,2
"Thank you for such a great service also for helping me choose the right plan truly grateful to the employees that helped me @3227 Vineland rd Kissimmee, fl 34746Employees names Astrid / Christopher A1 service",2
